1	1
2	1
3	6
4	2
5	7
6	23
7	20
8	4
9	5
10	21
11	66
12	70
13	83
14	67
15	88
16	8
17	25
18	9
19	30
20	90
21	79
22	95
23	284
24	268
25	333
26	349
27	346
28	286
29	283
30	347
31	336
32	16
33	17
34	81
35	86
36	18
37	23
38	71
39	260
40	276
41	341
42	261
43	274
44	342
45	1027
46	1043
47	1096
48	1048
49	1097
50	1113
51	1294
52	1354
53	1311
54	1359
55	1036
56	1052
57	1117
58	1037
59	1098
60	1294
61	1355
62	1291
63	1376
64	32
65	97
66	33
67	102
68	290
69	359
70	311
71	372
72	100
73	37
74	117
75	290
76	358
77	307
78	1059
79	1144
80	1064
81	1145
82	1385
83	1342
84	1402
85	1135
86	1087
87	1148
88	1388
89	1325
90	1405
91	4218
92	4158
93	4411
94	4475
95	4464
96	4144
97	4145
98	4209
99	4470
100	4402
101	5175
102	5159
103	5220
104	5492
105	5429
106	5157
107	5170
108	5238
109	5475
110	5491
111	4200
112	4152
113	4393
114	4409
115	4142
116	4138
117	4223
118	4463
119	4460
120	5244
121	5245
122	5485
123	5482
124	5230
125	5227
126	5483
127	5440
128	64
129	65
130	321
131	326
132	66
133	71
134	343
135	340
136	1092
137	1093
138	1365
139	1026
140	1030
141	1299
142	1283
143	24
144	72
145	345
146	329
147	94
148	282
149	271
150	1055
151	1116
152	1356
153	1037
154	1053
155	1306
156	1374
157	4187
158	4379
159	4368
160	4176
161	4177
162	4369
163	5142
164	5202
165	5463
166	5127
167	5188
168	5460
169	4117
170	4165
171	4434
172	4118
173	4163
174	4435
175	5128
176	5208
177	5385
178	5145
179	5198
180	5386
181	16479
182	16655
183	16716
184	16476
185	16669
186	16717
187	17418
188	17742
189	17419
190	17483
191	17696
192	16480
193	16673
194	16737
195	16422
196	16738
197	17447
198	17527
199	17716
200	17444
201	17765
202	20533
203	20578
204	20774
205	20595
206	20835
207	21560
208	21608
209	21817
210	21545
211	21886
212	20538
213	20783
214	20863
215	20540
216	20780
217	21613
218	21821
219	21562
220	21630
221	21883
222	16443
223	16688
224	16496
225	16753
226	17457
227	17718
228	17778
229	17527
230	17767
231	16420
232	16692
233	16501
234	16741
235	17522
236	17718
237	17443
238	17715
239	20520
240	20600
241	20841
242	20601
243	20846
244	21610
245	21823
246	21551
247	21804
248	20540
249	20797
250	20525
251	20778
252	21550
253	21803
254	21547
255	21888
256	128
257	385
258	129
259	390
260	1154
261	1415
262	1175
263	1428
264	132
265	389
266	149
267	450
268	1222
269	1491
270	1219
271	1496
272	4488
273	4249
274	4489
275	5278
276	5594
277	5327
278	5599
279	4252
280	4492
281	4301
282	4573
283	5338
284	5278
285	5531
286	219
287	464
288	144
289	401
290	1233
291	1494
292	1426
293	151
294	455
295	132
296	404
297	1237
298	1157
299	1426
300	4310
301	4483
302	4243
303	4552
304	5528
305	5321
306	5593
307	4238
308	4554
309	4511
310	5327
311	5516
312	5276
313	5597
314	16781
315	16586
316	16782
317	17611
318	17547
319	17888
320	16544
321	16865
322	16801
323	17638
324	17826
325	17639
326	20663
327	20980
328	20708
329	21669
330	22005
331	21666
332	21990
333	20915
334	20643
335	20984
336	21928
337	21753
338	21993
339	16830
340	16634
341	16879
342	17855
343	17660
344	17900
345	16813
346	16637
347	16890
348	17854
349	17595
350	17915
351	20976
352	20656
353	21681
354	22001
355	21750
356	20658
357	20919
358	20903
359	21732
360	22004
361	21941
362	65701
363	65714
364	66038
365	66787
366	66803
367	67048
368	65976
369	65705
370	66745
371	66990
372	66986
373	69887
374	70127
375	70124
376	70908
377	70909
378	71149
379	70122
380	69870
381	70891
382	71147
383	71104
384	65728
385	65729
386	65985
387	67014
388	66754
389	65735
390	66007
391	66004
392	66756
393	66757
394	67029
395	70018
396	70022
397	70803
398	70787
399	71064
400	70088
401	69849
402	70857
403	71134
404	71066
405	82319
406	82079
407	83164
408	83404
409	83341
410	82333
411	82074
412	83166
413	83419
414	83355
415	86416
416	86224
417	87249
418	87185
419	87446
420	86482
421	86231
422	87175
423	87236
424	87508
425	82325
426	82373
427	83154
428	83094
429	82115
430	82387
431	82312
432	83416
433	83337
434	86169
435	86222
436	87178
437	87519
438	87439
439	86476
440	86236
441	87197
442	87245
443	65674
444	65998
445	65931
446	67019
447	66976
448	65760
449	65697
450	66785
451	66726
452	67042
453	70055
454	70135
455	71092
456	71076
457	69861
458	69813
459	70882
460	70822
461	71155
462	66019
463	65976
464	67048
465	67001
466	65961
467	65790
468	66746
469	66735
470	69887
471	69820
472	70828
473	71149
474	71101
475	70074
476	70142
477	71163
478	71099
479	82352
480	82160
481	83185
482	83121
483	82102
484	82162
485	83191
486	83175
487	86180
488	86196
489	86517
490	87525
491	87538
492	86454
493	86435
494	87475
495	87464
496	82424
497	82409
498	83449
499	83438
500	82410
